Setlist_ID,Album,Song,Special_Guest
6,Red,All Too Well (10 Minute Version),FALSE
6,folklore,seven,FALSE
6,folklore,the 1,FALSE
6,folklore,betty,FALSE
6,folklore,the last great american dynasty,FALSE
6,folklore,august,FALSE
6,folklore,illicit affairs,FALSE
6,folklore,my tears ricochet,FALSE
6,folklore,cardigan,FALSE
6,1989,Style,FALSE
6,1989,Blank Space,FALSE
6,1989,Shake It Off,FALSE
6,1989,Wildest Dreams,FALSE
6,1989,Bad Blood,FALSE
6,Surprise Acoustic,Unknown,FALSE
6,Midnights,Lavender Haze,FALSE
6,Midnights,Anti-Hero,FALSE
6,Midnights,Midnight Rain,FALSE
6,Midnights,Vigilante Shit,FALSE
6,Midnights,Bejeweled,FALSE
6,Midnights,Mastermind,FALSE
6,Midnights,Karma,FALSE
7,Intro,Intro,FALSE
7,Lover,Miss Americana & the Heartbreak Prince,FALSE
7,Lover,Cruel Summer,FALSE
7,Lover,The Man,FALSE
7,Lover,You Need to Calm Down,FALSE
7,Lover,Lover,FALSE
7,Lover,The Archer,FALSE
7,Fearless,Fearless,FALSE
7,Fearless,You Belong With Me,FALSE
7,Fearless,Love Story,FALSE
7,evermore,tis the damn season,FALSE
7,evermore,willow,FALSE
7,evermore,marjorie,FALSE
7,evermore,champagne problems,FALSE
7,evermore,tolerate it,FALSE
7,reputation,...Ready for It?,FALSE
7,reputation,Delicate,FALSE
7,reputation,Don't Blame Me,FALSE
7,reputation,Look What You Made Me Do,FALSE
7,Speak Now,Enchanted,FALSE
7,Red,Red - Intro,FALSE
7,Red,22,FALSE
7,Red,We Are Never Ever Getting Back Together,FALSE
7,Red,I Knew You Were Trouble,FALSE
7,Red,Nothing New,Phoebe Bridgers
7,Red,All Too Well (10 Minute Version),FALSE
7,folklore,seven,FALSE
7,folklore,the 1,FALSE
7,folklore,betty,FALSE
7,folklore,the last great american dynasty,FALSE
7,folklore,august,FALSE
7,folklore,illicit affairs,FALSE
7,folklore,my tears ricochet,FALSE
7,folklore,cardigan,FALSE
7,1989,Style,FALSE
7,1989,Blank Space,FALSE
7,1989,Shake It Off,FALSE
7,1989,Wildest Dreams,FALSE
7,1989,Bad Blood,FALSE
7,Surprise Acoustic,Unknown,FALSE
7,Midnights,Lavender Haze,FALSE
7,Midnights,Anti-Hero,FALSE
7,Midnights,Midnight Rain,FALSE
7,Midnights,Vigilante Shit,FALSE
7,Midnights,Bejeweled,FALSE
7,Midnights,Mastermind,FALSE
7,Midnights,Karma,FALSE
8,Intro,Intro,FALSE
8,Lover,Miss Americana & the Heartbreak Prince,FALSE
8,Lover,Cruel Summer,FALSE
8,Lover,The Man,FALSE
8,Lover,You Need to Calm Down,FALSE
8,Lover,Lover,FALSE
8,Lover,The Archer,FALSE
8,Fearless,Fearless,FALSE
8,Fearless,You Belong With Me,FALSE
8,Fearless,Love Story,FALSE
8,evermore,tis the damn season,FALSE
8,evermore,willow,FALSE
8,evermore,marjorie,FALSE
8,evermore,champagne problems,FALSE
8,evermore,tolerate it,FALSE
